wallet,final_score,score_longevity,score_activity_frequency,score_time_consistency,score_repayment_ratio,score_collateral_health,score_liquidation_penalty,score_asset_diversity,score_tx_size_volatility,score_borrow_activity,score_healthy_usage,raw_score,normalized_score
0xba3481444e4d9df34fb9f4c2aed1ee6435d0bb04,47.66322371253061,0.05886234779299848,0.12101603042208542,0.6806902520734127,1.0,1.0,0.0,0.3333333333333333,-0.11916018518203446,0.0,0.0,3.0747417784397957,47.66322371253061
0x55a3a6b5ad7797dbd4b39c59586804079a93b7f1,49.17976716731009,0.08866898148148149,0.14213245168108174,0.673866009551918,1.0,1.0,0.0,0.3333333333333333,-0.04951823849955772,0.0,0.0,3.1884825375482566,49.17976716731009
0x62ee6baaa43f6c8ffa69cbd02583074db1e16e6c,56.387100338395804,0.002345890410958904,0.4671532846715329,1.0,1.0,1.0,0.0,0.3333333333333333,-0.07379998303614005,0.0,0.0,3.7290325253796848,56.387100338395804
0x8f2d580c3cccd96c3541386daac0af71c5d1c0f9,63.3869463615463,0.34272707382039574,1.0,0.8244281994262566,1.0,1.0,0.0,0.6666666666666666,-0.5798009627973468,0.0,0.0,4.254020977115973,63.3869463615463
0x3ef92f9776c16d281ee8a54c66fe5948daf44a9b,47.57759477574503,0.03364272577371893,0.08143591116322339,0.6663415227761242,1.0,1.0,0.0,0.3333333333333333,-0.046433884865523224,0.0,0.0,3.068319608180877,47.57759477574503
0x0ef7598125d434b22db92866b0d4f4101e628df1,51.53341954301632,0.07601449137493659,0.014416861721188074,1.0,1.0,1.0,0.0,0.3333333333333333,-0.05875822070323368,0.0,0.0,3.3650064657262244,51.53341954301632
0x00000000001876eb1444c986fd502e618c587430,59.850999576807205,0.34473433536276,1.0,0.9097923501455026,1.0,1.0,0.0,0.3333333333333333,-0.5990350505810554,0.0,0.0,3.9888249682605403,59.850999576807205
0xa7a13659692239c143dae313a0116d5b5c18d26c,49.86873680440616,0.278564434297311,0.029505482646860353,0.0,1.0,1.0,0.0,1.0,-0.0679146566137092,0.0,0.0,3.240155260330462,49.86873680440616
0xc8134de19fbe83d53c8513081667524a31f725af,67.27840380190128,1.3540081177067478e-05,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,-0.12079992160524759,0.0,0.0,4.545880285142596,67.27840380190128
0x8396d140476d7d5bebdbbe5de4f61a49a14ff695,73.12488717559208,0.0006285832064941655,1.0,0.9927821350165343,1.0,1.0,0.0,1.0,-0.009044180053623061,0.0,0.0,4.984366538169406,73.12488717559208
0xff3b7d05ed4e7852837572a9c798094b7a52e97d,45.29667942990435,0.27402647767630645,0.0059988203708553145,0.0,1.0,1.0,0.0,0.6666666666666666,-0.04944100747100195,0.0,0.0,2.8972509572428264,45.29667942990435
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,69.213692904629,0.3447959474885845,1.0,0.876801473941799,1.0,1.0,0.0,0.6666666666666666,-0.19723712024987533,0.0,0.0,4.691026967847175,69.213692904629
0x6a12fb9fe722542b24ae6fdbf408879b911e430e,59.95290522975388,0.0031358447488584475,0.5242082271568985,0.8920563150148809,1.0,1.0,0.0,0.6666666666666666,-0.08959916135576299,0.0,0.0,3.996467892231541,59.95290522975388
0x050f6e3037005d1d588a2c92555d05278c1a0f4f,51.0629811361499,0.016970541603247083,0.06457604221359797,1.0,1.0,1.0,0.0,0.3333333333333333,-0.0851563319389359,0.0,0.0,3.3297235852112426,51.0629811361499
0x17de3a496746064f55a7ff8b6791fad239b971ed,63.789211390992875,0.00017078893962455606,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,-0.04931326794849246,0.0,0.0,4.284190854324465,63.789211390992875
0x52fc6455f258760705e70f70160b06619bfe0adb,37.85107883178435,0.10681842973110096,0.020518751562209635,0.0,1.0,1.0,0.0,0.3333333333333333,-0.12183960224281772,0.0,0.0,2.3388309123838265,37.85107883178435
